,annotator,author,sent_id,text,WRITER-AG,EVENT,STATE,TIME,LOC,WRITER-PA,ORG,REP-EVENT,ASP-EVENT
1352,marco,Q3701303,10.0,In the second half of the 1990s he taught Ethics and the Deontology of the Media at the Università Cattolica del Sacro Cuore in Milan.  (Dario Edoardo Viganò),he,,taught,In the second half of the 1990s,in Milan,,at the Università Cattolica del Sacro Cuore,,
1353,marco,Q21064584,32.0,In 2019 she published its sequel Уулсын Домог Хотулун (Khutulun; The Legend of the Hills).   (Baatarsuren Shuudertsetseg),she,published,,In 2019,,,,,
1354,marco,Q43293,37.0,"When awarding the prize, the Swedish Academy stated that Coetzee ""in innumerable guises portrays the surprising involvement of the outsider"".  (J. M. Coetzee)",,,,,,Coetzee,the Swedish Academy,stated,
1355,marco,Q23893096,4.0,"Some sources give her birthplace as Miracema, while other sources say that she was born in Rio de Janeiro and moved to Miracema when she was very young.  (Maria Alice Barroso)",,birthplace,,,as Miracema,her,,give,
1356,marco,Q23893096,4.0,"Some sources give her birthplace as Miracema, while other sources say that she was born in Rio de Janeiro and moved to Miracema when she was very young.  (Maria Alice Barroso)",,born,,,in Rio de Janeiro,she,,say,
1357,marco,Q23893096,4.0,"Some sources give her birthplace as Miracema, while other sources say that she was born in Rio de Janeiro and moved to Miracema when she was very young.  (Maria Alice Barroso)",she,moved,,,to Miracema,,,,
1358,marco,Q3595359,19.0,"His most celebrated work, Khwab Ke dar band hain, arrived in 1987, which also won him the Sahitya Akademi Award in Urdu for that year.  (Akhlaq Mohammed Khan)","His most celebrated work, Khwab Ke dar band hain",arrived,,in 1987,,,,,
1359,marco,Q3595359,19.0,"His most celebrated work, Khwab Ke dar band hain, arrived in 1987, which also won him the Sahitya Akademi Award in Urdu for that year.  (Akhlaq Mohammed Khan)","His most celebrated work, Khwab Ke dar band hain",which,,for that year,,,the Sahitya Akademi Award,,
1360,marco,Q1988375,12.0,"Before 2014, he regularly visited Moscow.  (Oleh Skrypka)",he,,visited,Before 2014,Moscow,,,,
1361,marco,Q28535116,1.0,He lives in Barcelona.  (Teddy Cobeña),He,,lives,,in Barcelona,,,,
1362,marco,Q5487783,2.0,"Her short story  ""El Cristo de la mirada baja"" won first prize in 1986 in the International Literary Contest of the Liberator General San Martín held in Buenos Aires.  (Luz Argentina Chiriboga)","Her short story ""El Cristo de la mirada baja""",won,,in 1986,in Buenos Aires,,,,
1363,marco,Q102870,101.0,The Preston area near Poplar Neck contained a substantial Quaker community and was probably an important first stop during Tubman's escape.  (Harriet Tubman),Tubman's,escape,,,,,,,
1364,marco,Q7636984,9.0,"He also received a PhD in Kannada from Bangalore University and an honorary doctorate, ""Shabda Marthand"", from Gurukul Kangri University, Hardwar.  (Sumatheendra R Nadig)",,received,,,,He,from Bangalore University,,
1365,marco,Q7636984,9.0,"He also received a PhD in Kannada from Bangalore University and an honorary doctorate, ""Shabda Marthand"", from Gurukul Kangri University, Hardwar.  (Sumatheendra R Nadig)",,received,,,Hardwar,He,from Gurukul Kangri University,,
1366,marco,Q5232833,3.0,"He is the co-founder of Aleph Book Company, a literary publishing firm based in New Delhi.  (David Davidar)",He,,co-founder,,,,of Aleph Book Company,,
1367,marco,Q5232833,3.0,"He is the co-founder of Aleph Book Company, a literary publishing firm based in New Delhi.  (David Davidar)",Aleph Book Company,,based,,in New Delhi,,,,
1368,marco,Q4412673,65.0,"While drawing from various religious and historical themes, Malachi York continued to focus on Nubia.  (Dwight York)",Malachi York,,drawing,,,,,,
1369,marco,Q4412673,65.0,"While drawing from various religious and historical themes, Malachi York continued to focus on Nubia.  (Dwight York)",Malachi York,,focus,,,,,,continued
1370,marco,Q19526,226.0,"In 2021, the United States Mint announced that Angelou would be among the first women depicted on the reverse of the quarter as a part of the American Women quarters series.  (Maya Angelou)",,depicted,,In 2021,,Angelou,the United States Mint,announced,
168,marco,Q7822307,7.0,"Recorded in a tiny studio on the seminary campus, Tony spent the next few years faithfully preaching into a microphone for a crowd unseen in Houston.  (Tony Evans)",Tony,,Recorded,,,,,,
169,marco,Q7822307,7.0,"Recorded in a tiny studio on the seminary campus, Tony spent the next few years faithfully preaching into a microphone for a crowd unseen in Houston.  (Tony Evans)",Tony,,spent,,,,,,
170,marco,Q7822307,7.0,"Recorded in a tiny studio on the seminary campus, Tony spent the next few years faithfully preaching into a microphone for a crowd unseen in Houston.  (Tony Evans)",Tony,,preaching,,in Houston,,,,
1371,marco,Q54117373,2.0,Khalaf studied media and graduated from the University of Damascus in 1993.  (Taissier Khalaf),Khalaf,,studied,,,,,,
1372,marco,Q54117373,2.0,Khalaf studied media and graduated from the University of Damascus in 1993.  (Taissier Khalaf),Khalaf,graduated,,in 1993,,,from the University of Damascus,,
1373,marco,Q3347977,43.0,"The day is also commemorated by JANAM, which organises street plays at Jhandapur village, in Sahibabad, where he was killed.  (Safdar Hashmi)",,killed,,,"Jhandapur village, in Sahibabad",he,,,
1375,marco,Q1236772,17.0,"Her For My People was considered the ""most important collection of poetry written by a participant in the Chicago Black Renaissance before Gwendolyn Brooks's A Street in Bronzeville.""  (Margaret Walker)",,,important,,,Her For My People,,considered,
1376,marco,Q1236772,17.0,"Her For My People was considered the ""most important collection of poetry written by a participant in the Chicago Black Renaissance before Gwendolyn Brooks's A Street in Bronzeville.""  (Margaret Walker)",by a participant,written,,,,,in the Chicago Black Renaissance,,
175,marco,Q452642,5.0,"She continued writing her poems in Germany, translated German ones into Arabic language and brought out a periodical Diwan.  (Amal al-Jubouri)",She,,writing,,in Germany,,,,continued
176,marco,Q452642,5.0,"She continued writing her poems in Germany, translated German ones into Arabic language and brought out a periodical Diwan.  (Amal al-Jubouri)",She,,translated,,,,,,
177,marco,Q452642,5.0,"She continued writing her poems in Germany, translated German ones into Arabic language and brought out a periodical Diwan.  (Amal al-Jubouri)",She,brought,,,,,,,
178,marco,Q432362,16.0,"He has also played Johnnie in Athol Fugard's Hello and Goodbye, Iago in Othello, Malvolio in Twelfth Night and Shylock in The Merchant of Venice.  (Antony Sher)",He,,played,,,,,,
1377,marco,Q5534661,8.0,"Too young to work, he was assessed as educationally subnormal at his first school, and he was sent to Shelborne Road Secondary Modern.  (Geoffrey Henry Palmer)",,,assessed,,,he,,,
1378,marco,Q5534661,8.0,"Too young to work, he was assessed as educationally subnormal at his first school, and he was sent to Shelborne Road Secondary Modern.  (Geoffrey Henry Palmer)",he,,subnormal,,,,,,
1379,marco,Q5534661,8.0,"Too young to work, he was assessed as educationally subnormal at his first school, and he was sent to Shelborne Road Secondary Modern.  (Geoffrey Henry Palmer)",he,sent,,,,,to Shelborne Road Secondary Modern,,
1382,marco,Q704746,91.0,"For instance, Forman recruited the young folk star Bob Dylan  to play benefits and rallies for SNCC ( One of these rallies in Mississippi makes an appearance in the classic documentary Don't Look Back).  (James Forman)",Forman,recruited,,,,,for SNCC,,
1383,marco,Q15511967,31.0,"After leaving Gentilly, Sister Morgan roomed in various houses, mostly in the Lower Ninth Ward, an historically African American neighborhood in Orleans Parish.  (Gertrude Morgan)",Sister Morgan,leaving,,,Gentilly,,,,
1384,marco,Q15511967,31.0,"After leaving Gentilly, Sister Morgan roomed in various houses, mostly in the Lower Ninth Ward, an historically African American neighborhood in Orleans Parish.  (Gertrude Morgan)",Sister Morgan,,roomed,,in the Lower Ninth Ward,,,,
1389,marco,Q2763668,9.0,"She completed Master of Science in Library Science from Drexel University, Philadelphia, in 1962 and M.S. in South Asian Studies from University of Pennsylvania, Philadelphia, in 1973.  (Panna Naik)",She,completed,,in 1962,Philadelphia,,from Drexel University,,
1390,marco,Q2763668,9.0,"She completed Master of Science in Library Science from Drexel University, Philadelphia, in 1962 and M.S. in South Asian Studies from University of Pennsylvania, Philadelphia, in 1973.  (Panna Naik)",She,completed,,in 1973,Philadelphia,,from University of Pennsylvania,,
1393,marco,Q5085940,1.0,She grew up in a prominent abolitionist family in Philadelphia.  (Charlotte Forten Grimké),She,,grew,,in Philadelphia,,,,
1395,marco,Q55759,10.0,"They include Fakira (1959), which is in its 19th edition and received a state government award in 1961.  (Annabhau Sathe)",,received,,in 1961,,Fakira,,,
1399,marco,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle.  (Michael X)",he,emigrated,,In 1957,to the United Kingdom,,,,
1400,marco,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle.  (Michael X)",he,settled,,,in London,,,,
1401,marco,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle.  (Michael X)",he,,worked,,in London,,,,
1402,marco,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle.  (Michael X)",he,,dislike,,,,,professed,
179,marco,Q3635724,4.0,"In 1971, his research in the archives of London and Edinburgh brought to light some of the little-known facts of India's freedom struggle in the first decade of the twentieth century led by Sri Aurobindo for which he received the first Sri Aurobindo Puraskar (Kolkata).  (Manoj Das)",his,research,,In 1971,in the archives of London and Edinburgh,,,,
180,marco,Q3635724,4.0,"In 1971, his research in the archives of London and Edinburgh brought to light some of the little-known facts of India's freedom struggle in the first decade of the twentieth century led by Sri Aurobindo for which he received the first Sri Aurobindo Puraskar (Kolkata).  (Manoj Das)",his research,brought,,,,,,,
181,marco,Q3635724,4.0,"In 1971, his research in the archives of London and Edinburgh brought to light some of the little-known facts of India's freedom struggle in the first decade of the twentieth century led by Sri Aurobindo for which he received the first Sri Aurobindo Puraskar (Kolkata).  (Manoj Das)",,received,,,Kolkata,he,,,
1414,marco,Q6507753,27.0,"In the same year, she published a prose piece entitled ""The Gangster We Are All Looking For"" in the Massachusetts Review.  (Le Thi Diem Thuy)",she,published,,In the same year,,,in the Massachusetts Review,,
1426,marco,Q456281,28.0,"Lestrade left Paris in 2002 to live in rural French Normandy, near Alençon.  (Didier Lestrade)",Lestrade,left,,in 2002,Paris,,,,
1427,marco,Q456281,28.0,"Lestrade left Paris in 2002 to live in rural French Normandy, near Alençon.  (Didier Lestrade)",Lestrade,,live,,in rural French Normandy,,,,
1428,marco,Q1050946,6.0,"In the book Words in Your Face: A Guided Tour Through Twenty Years of the New York City Poetry Slam, author Cristin O'Keefe Aptowicz wrote of muMs's time in slam poetry, noting his writing ""was street poetry at its purest.  (muMs da Schemer)",,,,,,muMs,,wrote,
1429,marco,Q1050946,6.0,"In the book Words in Your Face: A Guided Tour Through Twenty Years of the New York City Poetry Slam, author Cristin O'Keefe Aptowicz wrote of muMs's time in slam poetry, noting his writing ""was street poetry at its purest.  (muMs da Schemer)",muMs's,,time,,,,,,
1430,marco,Q1050946,6.0,"In the book Words in Your Face: A Guided Tour Through Twenty Years of the New York City Poetry Slam, author Cristin O'Keefe Aptowicz wrote of muMs's time in slam poetry, noting his writing ""was street poetry at its purest.  (muMs da Schemer)",,,,,,his writing,,noting,
1434,marco,Q15430533,1.0,The McKissacks jointly received the biennial American Library Association Coretta Scott King – Virginia Hamilton Award for Lifetime Achievement in 2014 (after Fredrick's death).  (Fredrick McKissack),,received,,in 2014,,The McKissacks,the biennial American Library Association Coretta Scott King – Virginia Hamilton Award,,
1435,marco,Q15430533,1.0,The McKissacks jointly received the biennial American Library Association Coretta Scott King – Virginia Hamilton Award for Lifetime Achievement in 2014 (after Fredrick's death).  (Fredrick McKissack),Fredrick's,death,,,,,,,
188,marco,Q5552634,29.0,"Alanguilan then got his first opportunity to work for Marvel Comics in 1997, inking Leinil Francis Yu's pencils on Wolverine Volume 2 No. 121, written by Warren Ellis.  (Gerry Alanguilan)",Alanguilan,got,,,,,,,
189,marco,Q5552634,29.0,"Alanguilan then got his first opportunity to work for Marvel Comics in 1997, inking Leinil Francis Yu's pencils on Wolverine Volume 2 No. 121, written by Warren Ellis.  (Gerry Alanguilan)",Alanguilan,,work,in 1997,,,for Marvel Comics,,
190,marco,Q5552634,29.0,"Alanguilan then got his first opportunity to work for Marvel Comics in 1997, inking Leinil Francis Yu's pencils on Wolverine Volume 2 No. 121, written by Warren Ellis.  (Gerry Alanguilan)",Alanguilan,inking,,,,,,,
1443,marco,Q2734197,2.0,Before the Six-Day War in 1967 he was mainly influenced by Arab nationalism; after the war he joined the Israeli Communist Party.  (Samih al-Qasim),,,influenced,,,he,,,
1444,marco,Q2734197,2.0,Before the Six-Day War in 1967 he was mainly influenced by Arab nationalism; after the war he joined the Israeli Communist Party.  (Samih al-Qasim),he,joined,,,,,the Israeli Communist Party,,
1449,marco,Q2978433,2.0,"Her book of poetry, Citizen: An American Lyric, won the 2014 Los Angeles Times Book Award, the 2015 National Book Critics Circle Award in Poetry (the first book in the award's history to be nominated in both poetry and criticism), the 2015 Forward Prize for Best Collection, the 2015 Hurston/Wright Legacy Award in Poetry, the 2015 NAACP Image Award in poetry, the 2015 PEN Open Book Award, the 2015 PEN American Center USA Literary Award, the 2015 PEN Oakland-Josephine Miles Literary Award, and the 2015 VIDA Literary Award.  (Claudia Rankine)","Her book of poetry, Citizen: An American Lyric",won,,,,,the 2014 Los Angeles Times Book Award,,
1450,marco,Q4827381,17.0,"In 1990, DuVernay graduated from Saint Joseph High School in Lakewood.  (Ava DuVernay)",DuVernay,graduated,,In 1990,in Lakewood,,from Saint Joseph High School,,
1451,marco,Q21070357,26.0,Abram Hill died in Harlem at the age of 76 in 1986.  (Abram Hill),Abram Hill,died,,,in Harlem,,,,
1452,marco,Q7595813,10.0,"The second of six siblings, Abrams was born to Robert and Carolyn Abrams in Madison, Wisconsin, and raised in Gulfport, Mississippi.  (Stacey Abrams)",,born,,,"in Madison, Wisconsin",Abrams,,,
1453,marco,Q7595813,10.0,"The second of six siblings, Abrams was born to Robert and Carolyn Abrams in Madison, Wisconsin, and raised in Gulfport, Mississippi.  (Stacey Abrams)",,raised,,,"in Gulfport, Mississippi",Abrams,,,
193,marco,Q7296721,6.0,"This novel was reviewed by N R Narayana Murthy, Chairman Emeritus of Infosys Technologies, who called it ""Simple, honest and touching"".   (Ravinder Singh)",,,,,,This novel,,called,
1454,marco,Q155845,118.0,"In Northern Rhodesia (now called Zambia), Achebe found himself sitting in a whites-only section of a bus to Victoria Falls.  (Chinua Achebe)",Achebe,,sitting,,In Northern Rhodesia,,,,
1455,marco,Q155845,118.0,"In Northern Rhodesia (now called Zambia), Achebe found himself sitting in a whites-only section of a bus to Victoria Falls.  (Chinua Achebe)",Achebe,found,,,In Northern Rhodesia,,,,
