author,sent_id,text,ARGx-LOC,STATE,TIME,WRITER-ARG0,REP-EVENT,EVENT,ARGx-ORG,ASP-EVENT,WRITER-ARGx,lemma
Q188093,49,"Hughes later said that, prior to arriving in Mexico, ""I had been thinking about my father and his strange dislike of his own people.  (Langston Hughes)",in Mexico,,,Hughes,,arriving,,,,arrive
Q188093,49,"Hughes later said that, prior to arriving in Mexico, ""I had been thinking about my father and his strange dislike of his own people.  (Langston Hughes)",,thinking,,I,,,,,,think
Q28777191,5,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)","in Texas, Pennsylvania and New Jersey",covered,,she,,,,,,cover
Q28777191,5,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)",,,in the spring of 2005,she,,spent,in Knight Ridder's Baghdad bureau,,,spend
Q528778,8,He initially worked for Newsline and wrote for The Washington Post and India Today.   (Mohammed Hanif),,worked,,He,,,for Newsline,,,work
Q528778,8,He initially worked for Newsline and wrote for The Washington Post and India Today.   (Mohammed Hanif),,wrote,,He,,,for The Washington Post and India Today,,,write
Q95273,48,"Her autobiography, When I Fell from the Sky (German: Als ich vom Himmel fiel), was released on 10 March 2011 by Piper Verlag, for which she received the Corine Literature Prize in 2011.  (Juliane Koepcke)",,,on 10 March 2011,,,released,by Piper Verlag,,"Her autobiography, When I Fell from the Sky",release
Q95273,48,"Her autobiography, When I Fell from the Sky (German: Als ich vom Himmel fiel), was released on 10 March 2011 by Piper Verlag, for which she received the Corine Literature Prize in 2011.  (Juliane Koepcke)",,,in 2011,,,received,,,she,receive
Q1399671,67,"Ravi Zacharias later established The Oxford Centre for Christian Apologetics (OCCA), an unaccredited, unrecognised research institute in Oxfordshire, England offering theological degrees.  (Ravi Zacharias)",in Oxfordshire,,,Ravi Zacharias,,established,The Oxford Centre for Christian Apologetics,,,establish
Q1399671,67,"Ravi Zacharias later established The Oxford Centre for Christian Apologetics (OCCA), an unaccredited, unrecognised research institute in Oxfordshire, England offering theological degrees.  (Ravi Zacharias)","in Oxfordshire, England",offering,,The Oxford Centre for Christian Apologetics,,,,,,offer
Q1579932,26,"In 2016, Netflix announced Fronckowiak as part of the main cast of 3%, the first Brazilian original series on the streaming service.  (Mel Fronckowiak)",,,In 2016,,,announced,Netflix,,Fronckowiak,announce
Q2946652,4,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",in Australia,attended,,Dovey,,,at North Sydney Girls High School,,,attend
Q2946652,4,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",to the United States,,in 1999,Dovey,,going,,,,go
Q2946652,4,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",,study,in 1999,Dovey,,,at Harvard University,,,study
Q2946652,4,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",,degree,in 2003,she,,,at Harvard University,completed,,degree
Q528778,0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),,writer,,Mohammed Hanif,,,,,,writer
Q528778,0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),,writes,,Mohammed Hanif,,,in The New York Times,,,write
Q528778,0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),,journalist,,Mohammed Hanif,,,,,,journalist
Q5274753,11,"On the 23rd of June 2001, Okenyodo, working with colleagues—Sumaila Umaisha, Aba Ejembi, Jerome Ajayi—founded the Kaduna Writers' League.  (Diego Odoh Okenyodo)",,,On the 23rd of June 2001,Okenyodo,,founded,the Kaduna Writers' League,,,found
Q5274753,11,"On the 23rd of June 2001, Okenyodo, working with colleagues—Sumaila Umaisha, Aba Ejembi, Jerome Ajayi—founded the Kaduna Writers' League.  (Diego Odoh Okenyodo)",,working,On the 23rd of June 2001,Okenyodo,,,,,,work
Q19892251,19,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",in Pune,,on 28 January 2008,Jotwani,,died,,,,die
Q19892251,19,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",in Pune,,on 28 January 2008,Jotwani,,succumbing,,,,succumb
Q19892251,19,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",,,,Jotwani,,leaving,,,,leave
Q251123,2,He won the 1991 International Nonino Prize in Italy.  (Álvaro Mutis),in Italy,,,He,,won,,,,win
Q171905,79,"On October 7, the RCA Music Group announced that it was disbanding J Records along with Arista Records and Jive Records, meaning that all artists (including Foxx) previously signed to the three labels will release their future material on the RCA Records brand.  (Jamie Foxx)",,,,all artists,,release,on the RCA Records brand,,,release
Q171905,79,"On October 7, the RCA Music Group announced that it was disbanding J Records along with Arista Records and Jive Records, meaning that all artists (including Foxx) previously signed to the three labels will release their future material on the RCA Records brand.  (Jamie Foxx)",,including,,,,,,,Foxx,include
Q171905,79,"On October 7, the RCA Music Group announced that it was disbanding J Records along with Arista Records and Jive Records, meaning that all artists (including Foxx) previously signed to the three labels will release their future material on the RCA Records brand.  (Jamie Foxx)",,,,all artists,,signed,,,,sign
Q3161465,73,"Next he was called to Portland, Maine, where he served for three years.  (James W.C. Pennington)","to Portland, Maine",,Next,,,called,,,he,call
Q3161465,73,"Next he was called to Portland, Maine, where he served for three years.  (James W.C. Pennington)","Portland, Maine",served,for three years,he,,,,,,serve
Q4868275,14,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),,,in 1972,He,,joined,Rotary International,,,join
Q4868275,14,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),,,,He,,rendered,Rotary International,,,render
Q27942223,32,"The poem was published on October 1, 1921 in the Kansas City Sun.  (J. Dallas Bowser)",,,"on October 1, 1921",,,published,in the Kansas City Sun,,The poem,publish
Q6779572,13,"Berry spent seven years working at the University of Maryland, eventually becoming interim provost of the Division of Behavioral and Social Sciences.  (Mary Frances Berry)",,spent,,Berry,,,,,,spend
Q6779572,13,"Berry spent seven years working at the University of Maryland, eventually becoming interim provost of the Division of Behavioral and Social Sciences.  (Mary Frances Berry)",at the University of Maryland,working,seven years,Berry,,,,,,work
Q6779572,13,"Berry spent seven years working at the University of Maryland, eventually becoming interim provost of the Division of Behavioral and Social Sciences.  (Mary Frances Berry)",,provost,,Berry,,,,becoming,,provost
Q319871,306,"Washington took the lead in promoting educational uplift for the African Diaspora, often with funding from the Phelps Stokes Fund or in collaboration with foreign sources, such as the German government.  (Booker T. Washington)",,,,Washington,,took,,,,take
Q319871,306,"Washington took the lead in promoting educational uplift for the African Diaspora, often with funding from the Phelps Stokes Fund or in collaboration with foreign sources, such as the German government.  (Booker T. Washington)",,promoting,,Washington,,,,,,promote
Q319871,306,"Washington took the lead in promoting educational uplift for the African Diaspora, often with funding from the Phelps Stokes Fund or in collaboration with foreign sources, such as the German government.  (Booker T. Washington)",,,,,,funding,from the Phelps Stokes Fund,,Washington,fund
Q7660270,1,He was the president of Asam Sahitya Sabha in 1977 held at Abhayapuri.  (Syed Abdul Malik),at Abhayapuri,president,in 1977,He,,,of Asam Sahitya Sabha,,,president
Q1541759,13,"Tati Loutard ran again in the 2007 parliamentary election, and this time he was elected to the National Assembly as the MAR candidate in Tchiamba-Nzassi, winning the seat in the first round with 52.54% of the vote.  (Jean-Baptiste Tati-Loutard)",,,,Tati Loutard,,ran,,,,run
Q4838045,9,"He was a columnist for Hyderabad-based daily newspaper Postnoon and wrote a column called ""The Human Angle"".  (Babu Gogineni)",,wrote,,He,,,,,,write
Q3291572,10,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),to Lisbon,,in 1957,Vimala Devi,,moved,,,,move
Q3291572,10,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),Lisbon,,in 1957,Vimala Devi,,rejoin,,,,rejoin
Q3291572,10,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),Lisbon,work,in 1957,Vimala Devi,,,,began,,work
Q43373901,22,"In November, he participated in Colors TV's Bigg Boss 14, this time as a challenger.  (Vikas Gupta)",,,In November,he,,participated,in Colors TV's Bigg Boss 14,,,participate
Q330809,12,"In 1994, during his studies at Case Western Reserve University, he founded Wordsmith.org.  (Anu Garg)",,,In 1994,he,,founded,Wordsmith.org,,,found
Q330809,12,"In 1994, during his studies at Case Western Reserve University, he founded Wordsmith.org.  (Anu Garg)",,studies,,his,,,at Case Western Reserve University,,,study
Q8063510,18,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),,,for the year 2015,,,awarded,by (SALF),,He,award
Q8063510,18,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),,,,,,given,by Pakistan Writers Guild,,Zabir Saeed Badar,give
Q8063510,18,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),in Pakistan,,in 1995,He,,organized,,,,organize
Q2722550,4,"He daily attended the first 10 day Cross Maidan Pandal Festival in 1971 organized by A.C. Bhaktivedanta Swami Prabhupada, the founder of the International Society for Krishna Consciousness (ISKCON) and his Western disciples.  (Lokanatha Swami)",,attended,in 1971,He,,,Cross Maidan Pandal Festival,,,attend
Q20979380,29,"The song brought Sethi to international recognition as a singer, and was named the ""highlight of the album"" by Times of India.  (Ali Sethi)",,,,,,brought,,,Sethi,bring
Q20979380,29,"The song brought Sethi to international recognition as a singer, and was named the ""highlight of the album"" by Times of India.  (Ali Sethi)",,,,,,named,by Times of India,,The song,name
Q228787,36,"Her acting in the film was noted in the San Francisco Chronicle, which wrote that she was ""the one to watch"".  (Jada Pinkett Smith)",,,,,,noted,in the San Francisco Chronicle,,Her acting,note
Q7609348,2,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",Grahamstown,studied,,He,,,at St. Andrew's College,,,study
Q7609348,2,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",,studied,,He,,,at the University of Cape Town,,,study
Q7609348,2,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",England,,,,,received,Cambridge University,,he,receive
Q7609348,2,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",US,studied,,he,,,the University of Iowa,,,study
Q5056520,54,"W.J. van der Merwe, Cecily Norden and Aubrey Richardson (as Tabulator) pioneered the Three-Judge System for Saddle Horses at Middelburg Cape Regional Saddle Horse Championships, which led to the Hi-Low System now in use.  (Cecily Norden)",at Middelburg Cape Regional Saddle Horse Championships,pioneered,,Cecily Norden,,,,,,pioneer
Q28215720,5,Shaik is included in A Booklover’s Guide to New Orleans and the Encyclopedia of African American Writers among others.  (Fatima Shaik),to New Orleans,included,,,,,,,Shaik,include
Q380221,15,"Ramachandran, whose father wanted him to become a physician rather than a researcher, obtained an M.B.B.S. from Stanley Medical College in Chennai, India.  (Vilayanur S. Ramachandran)","in Chennai, India",,,Ramachandran,,obtained,from Stanley Medical College,,,obtain
Q91473126,264,"In June, after visiting one of the detention facilities near the border in San Diego, Harris became the first senator to demand Nielsen's resignation.  (Michael D. Harris)",,,In June,the first senator,,demand,,,,demand
Q91473126,264,"In June, after visiting one of the detention facilities near the border in San Diego, Harris became the first senator to demand Nielsen's resignation.  (Michael D. Harris)",in San Diego,,after,,,visiting,,,,visit
Q5948357,16,"Between 1982-84 he was a regular contributor to many newspapers in Latin America, through the Agencia Latinoamerica, based in Miami, Florida, US He was an economist in the department of developing countries for the American company Data Resources Inc., McGraw Hill, London and Boston (1985), specializing in the construction of macro-econometric models, among others Algeria    and South Africa  Between 1986 and 1987 he was a researcher at the Institute of World Economics, Institut für Weltwirtschaft, in Kiel, Germany.  (Juan Carlos Herken Krauer)",in Latin America,contributor,Between 1982-84,he,,,through the Agencia Latinoamerica,,,contributor
Q5948357,16,"Between 1982-84 he was a regular contributor to many newspapers in Latin America, through the Agencia Latinoamerica, based in Miami, Florida, US He was an economist in the department of developing countries for the American company Data Resources Inc., McGraw Hill, London and Boston (1985), specializing in the construction of macro-econometric models, among others Algeria    and South Africa  Between 1986 and 1987 he was a researcher at the Institute of World Economics, Institut für Weltwirtschaft, in Kiel, Germany.  (Juan Carlos Herken Krauer)",London and Boston,economist,1985,He,,,"for the American company Data Resources Inc., McGraw Hill",,,economist
Q5948357,16,"Between 1982-84 he was a regular contributor to many newspapers in Latin America, through the Agencia Latinoamerica, based in Miami, Florida, US He was an economist in the department of developing countries for the American company Data Resources Inc., McGraw Hill, London and Boston (1985), specializing in the construction of macro-econometric models, among others Algeria    and South Africa  Between 1986 and 1987 he was a researcher at the Institute of World Economics, Institut für Weltwirtschaft, in Kiel, Germany.  (Juan Carlos Herken Krauer)","in Kiel, Germany",researcher,,he,,,"at the Institute of World Economics, Institut für Weltwirtschaft",,,researcher
Q5948357,16,"Between 1982-84 he was a regular contributor to many newspapers in Latin America, through the Agencia Latinoamerica, based in Miami, Florida, US He was an economist in the department of developing countries for the American company Data Resources Inc., McGraw Hill, London and Boston (1985), specializing in the construction of macro-econometric models, among others Algeria    and South Africa  Between 1986 and 1987 he was a researcher at the Institute of World Economics, Institut für Weltwirtschaft, in Kiel, Germany.  (Juan Carlos Herken Krauer)",,specializing,1985,He,,,,,,specialize
Q81849398,10,"Daivathinte Makal (Daughter of God), her first collection of poetry, has been included in the syllabus of a course at the Department of Malayalam at Madras University.  (Vijayarajamallika)",,,,,,included,at Madras University,,her first collection,include
Q16633398,17,"Sami Said lives in Hägersten, Stockholm, with his wife, the literary critic Martina Lowden .  (Sami Said)","in Hägersten, Stockholm",lives,,Sami Said,,,,,,live
Q15146755,9,"After her PhD, Chutia continued her research at Dibrugarh University for another year as a CSIR-postdoctoral fellow.  (Joyanti Chutia)",,,,her,,PhD,,,,phd
Q15146755,9,"After her PhD, Chutia continued her research at Dibrugarh University for another year as a CSIR-postdoctoral fellow.  (Joyanti Chutia)",,research,for another year,Chutia,,,at Dibrugarh University,continued,,research
Q27825849,11,"In 2013, in her role as an ambassador of MCHIP (Maternal and Child Health Integrated Program), she visited the communities of Amjiriganj and Nabiganj Upazilas, collecting background for the 50 success stories she is writing for the MaMoni Save the Children project.  (Shahnaz Munni)",,role,In 2013,her,,,of MCHIP,,,role
Q27825849,11,"In 2013, in her role as an ambassador of MCHIP (Maternal and Child Health Integrated Program), she visited the communities of Amjiriganj and Nabiganj Upazilas, collecting background for the 50 success stories she is writing for the MaMoni Save the Children project.  (Shahnaz Munni)",of Amjiriganj and Nabiganj Upazilas,,,she,,visited,,,,visit
Q27825849,11,"In 2013, in her role as an ambassador of MCHIP (Maternal and Child Health Integrated Program), she visited the communities of Amjiriganj and Nabiganj Upazilas, collecting background for the 50 success stories she is writing for the MaMoni Save the Children project.  (Shahnaz Munni)",,,,she,,collecting,,,,collect
Q27825849,11,"In 2013, in her role as an ambassador of MCHIP (Maternal and Child Health Integrated Program), she visited the communities of Amjiriganj and Nabiganj Upazilas, collecting background for the 50 success stories she is writing for the MaMoni Save the Children project.  (Shahnaz Munni)",,writing,,she,,,for the MaMoni Save the Children project,,,write
Q816459,230,"A HUD spokesman said that no one present thought Carson ""was equating voluntary immigration with involuntary servitude"".  (Ben Carson)",,equating,,Carson,,,,,,equate
Q5241313,54,"Wright participated in the 2006 Major League Baseball Japan All-Star Series along with teammates José Reyes, Julio Franco, and John Maine.  (David Wright)",,,,Wright,,participated,in the 2006 Major League Baseball Japan All-Star Series,,,participate
Q22687412,7,"In 2003 he obtained a doctorate degree in Arabic language and literature from the Lebanese University, specializing in Renaissance literature, after he submitted his thesis ""Love and death from the perspective of the biography between Egypt and Lebanon"" under the supervision of Dr. Antoine Maalouf, he got 17 out of 20 and was rated very well.  (Joseph Lebbos)",,,,he,,obtained,from the Lebanese University,,,obtain
Q22687412,7,"In 2003 he obtained a doctorate degree in Arabic language and literature from the Lebanese University, specializing in Renaissance literature, after he submitted his thesis ""Love and death from the perspective of the biography between Egypt and Lebanon"" under the supervision of Dr. Antoine Maalouf, he got 17 out of 20 and was rated very well.  (Joseph Lebbos)",,,,he,,submitted,,,,submit
Q22687412,7,"In 2003 he obtained a doctorate degree in Arabic language and literature from the Lebanese University, specializing in Renaissance literature, after he submitted his thesis ""Love and death from the perspective of the biography between Egypt and Lebanon"" under the supervision of Dr. Antoine Maalouf, he got 17 out of 20 and was rated very well.  (Joseph Lebbos)",,,,,,got,,,he,get
Q22687412,7,"In 2003 he obtained a doctorate degree in Arabic language and literature from the Lebanese University, specializing in Renaissance literature, after he submitted his thesis ""Love and death from the perspective of the biography between Egypt and Lebanon"" under the supervision of Dr. Antoine Maalouf, he got 17 out of 20 and was rated very well.  (Joseph Lebbos)",,,,,,rated,,,he,rate
Q22687412,7,"In 2003 he obtained a doctorate degree in Arabic language and literature from the Lebanese University, specializing in Renaissance literature, after he submitted his thesis ""Love and death from the perspective of the biography between Egypt and Lebanon"" under the supervision of Dr. Antoine Maalouf, he got 17 out of 20 and was rated very well.  (Joseph Lebbos)",,specializing,,he,,,,,,specialize
Q7238560,23,"Joshi is known for creating brand-building work for multinational brands including Nestle, Coca cola, Microsoft, Mastercard, L’Oréal, Intel X Box, Reckitt Benckiser, Unilever, Perfetti, J&J, as well as Indian Brands like Britannia, Saffola, Dabur, ITC foods, TVS motors, Reliance, Reliance Jio, Paytm, RadioMirchi, and media brands like  NDTV India (Sach dikhate hain hum), Times Now, CNBC, CNN IBN, and the Cannes-winning Thanda matlab Coca-Cola campaign with Aamir Khan.   (Prasoon Joshi)",,creating,,Joshi,,,"Nestle, Coca cola, Microsoft, Mastercard, L’Oréal, Intel X Box, Reckitt Benckiser, Unilever, Perfetti, J&J",,,create
Q7238560,23,"Joshi is known for creating brand-building work for multinational brands including Nestle, Coca cola, Microsoft, Mastercard, L’Oréal, Intel X Box, Reckitt Benckiser, Unilever, Perfetti, J&J, as well as Indian Brands like Britannia, Saffola, Dabur, ITC foods, TVS motors, Reliance, Reliance Jio, Paytm, RadioMirchi, and media brands like  NDTV India (Sach dikhate hain hum), Times Now, CNBC, CNN IBN, and the Cannes-winning Thanda matlab Coca-Cola campaign with Aamir Khan.   (Prasoon Joshi)",,,,,,known,,,Joshi,know
Q2627089,40,"In 2013, Divakaruni wrote the libretto to a chamber opera for Houston Grand Opera, River of Light, about the life of an Indian woman in Houston.  (Chitra Banerjee Divakaruni)",,,In 2013,Divakaruni,,wrote,for Houston Grand Opera,,,write
Q23893509,2,"Batalha wrote for the newspapers O Dia, O Globo and Extra.  (Martha Batalha)",,wrote,,Batalha,,,"for the newspapers O Dia, O Globo and Extra",,,write
Q4399874,67,"In September 2012, Barbosa was elected by ISTOÉ Gente one of the 25 sexiest women of Brazil.  (Marina Ruy Barbosa)",of Brazil,,In September 2012,,,elected,by ISTOÉ Gente,,Barbosa,elect
Q57402,103,"In the weeks before the November election, Ortega gave a U.N. speech denouncing talks held in Rio de Janeiro on electoral reform.  (Daniel Ortega)",,,,Ortega,,gave,a U.N. speech,,,give
Q57402,103,"In the weeks before the November election, Ortega gave a U.N. speech denouncing talks held in Rio de Janeiro on electoral reform.  (Daniel Ortega)",,,,Ortega,,denouncing,,,,denounce
Q13119747,20,Sail received the Sahitya Akadami Award in Konkani language for his short story collection Taranga(तरंगा) in 1993.  (Mahabaleshwar Sail),,,in 1993,,,received,the Sahitya Akadami Award,,Sail,receive
Q7322658,12,"In a deal brokered between the Government of Cuba and the Roman Catholic Church, González and 51 other ""Black Spring"" political prisoners and their families were released and sent to Spain.  (Ricardo González Alfonso)",,,,Government of Cuba,,released,,,González,release
Q7322658,12,"In a deal brokered between the Government of Cuba and the Roman Catholic Church, González and 51 other ""Black Spring"" political prisoners and their families were released and sent to Spain.  (Ricardo González Alfonso)",to Spain,,,,,sent,,,González,send
Q5620651,9,"After graduating from Stanford in 1990, instead of pursuing professional sports, he set his eyes on running for president of his native Equatorial Guinea with hopes of establishing freedom of speech, raising the standard of living and education.  (Gus Envela, Jr.)",,,After,he,,graduating,from Stanford,,,graduate
Q5620651,9,"After graduating from Stanford in 1990, instead of pursuing professional sports, he set his eyes on running for president of his native Equatorial Guinea with hopes of establishing freedom of speech, raising the standard of living and education.  (Gus Envela, Jr.)",of his native Equatorial Guinea,,,he,,running,,,,run
Q5620651,9,"After graduating from Stanford in 1990, instead of pursuing professional sports, he set his eyes on running for president of his native Equatorial Guinea with hopes of establishing freedom of speech, raising the standard of living and education.  (Gus Envela, Jr.)",,,,he,,set,,,,set
Q5620651,9,"After graduating from Stanford in 1990, instead of pursuing professional sports, he set his eyes on running for president of his native Equatorial Guinea with hopes of establishing freedom of speech, raising the standard of living and education.  (Gus Envela, Jr.)",,pursuing,,he,,,,,,pursue
Q12494572,7,"April 6, 2018, he participated in the meeting of the President of Indonesia Joko Widodo with a group of Indonesian writers in the State Palace in Jakarta.  (Lesik Kati Ara)",in Jakarta,,"April 6, 2018",he,,participated,,,,participate
Q5933883,3,"The son of a Spanish diplomat, he spent his childhood traveling from Portugal to France to Belgium and Morocco.  (Jomí García Ascot)",Portugal,spent,,he,,,,,,spend
Q5933883,3,"The son of a Spanish diplomat, he spent his childhood traveling from Portugal to France to Belgium and Morocco.  (Jomí García Ascot)",from Portugal to France to Belgium and Morocco,traveling,,he,,,,,,travel
Q291068,159,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,,,She,,form,the Black Cabinet,,,form
Q291068,159,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,called,,,,,the Federal Council of Negro Affairs,,a coalition,call
Q291068,159,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,known,,,,,as the Black Cabinet,,a coalition,know
Q291068,159,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,,,She,,used,,,,use
Q3660881,4,"Tawfiq wrote articles for the ""Culture"" section of the Qatar-based Ash-Sharq journal.  (Hasan Tawfiq)",,wrote,,Tawfiq,,,of the Qatar-based Ash-Sharq journal,,,write
Q3565066,3,"Wafaa Abed Al Razzaq participated in a lot of poetry festivals and in the foundation of: From the Dairy of the War Chilled, translated from Arabic to French by Hédia DRIDI, co-revised by Josyane De Jesus-Bergey et Mohamed Rafrafi and published by L'Harmattan Edition, Paris December 2008, with the title: Mémoires de l'enfant de la guerre – Ne volez pas ma voix.  (Wafaa Abed Al Razzaq)",,participated,,Wafaa Abed Al Razzaq,,,,,,participate
Q3565066,3,"Wafaa Abed Al Razzaq participated in a lot of poetry festivals and in the foundation of: From the Dairy of the War Chilled, translated from Arabic to French by Hédia DRIDI, co-revised by Josyane De Jesus-Bergey et Mohamed Rafrafi and published by L'Harmattan Edition, Paris December 2008, with the title: Mémoires de l'enfant de la guerre – Ne volez pas ma voix.  (Wafaa Abed Al Razzaq)",Paris,,December 2008,,,published,by L'Harmattan Edition,,Mémoires de l'enfant de la guerre – Ne volez pas ma voix,publish
Q547996,28,"He is currently involved in teaching AIDS awareness to children and education in the use of condoms, travelling to schools all over South Africa to spread the message of safe, responsible sex.  (Pieter-Dirk Uys)",,teaching,currently,He,,,,,,teach
Q547996,28,"He is currently involved in teaching AIDS awareness to children and education in the use of condoms, travelling to schools all over South Africa to spread the message of safe, responsible sex.  (Pieter-Dirk Uys)",all over South Africa,travelling,currently,He,,,,,,travel
Q547996,28,"He is currently involved in teaching AIDS awareness to children and education in the use of condoms, travelling to schools all over South Africa to spread the message of safe, responsible sex.  (Pieter-Dirk Uys)",,spread,currently,He,,,,,,spread
Q547996,28,"He is currently involved in teaching AIDS awareness to children and education in the use of condoms, travelling to schools all over South Africa to spread the message of safe, responsible sex.  (Pieter-Dirk Uys)",,,currently,He,,involved,,,,involve
Q2876541,3,"He is regarded as one of the Promoción del 50, a group of 1950's poets, mainly from the Academia Universitaria and the Faculty of Philosophy in Asunción who wrote socially engaged poetry during Alfredo Stroessner's dictatorship (1954–1989).   (José Ricardo Mazó)",in Asunción,wrote,,a group of 1950's poets,,,from the Academia Universitaria and the Faculty of Philosophy,,,write
Q7261349,11,"His first solo painting exhibition was held in British Council, Kolkata in 1982.  (Purnendu Pattrea)","in British Council, Kolkata",,in 1982,,,held,,,His first solo painting exhibition,hold
Q17300342,17,"In 2008, she was named the Shirley Carter Burden Visiting Professor of Photography at Harvard University.  (Catherine Lord)",,,In 2008,,,named,at Harvard University,,she,name
Q3416439,7,"She also worked for the Rajiv Gandhi Foundation, where she started up the Interact project for the education of the children of the victims of terrorism in different parts of India.  (Radhika Jha)",,worked,,She,,,for the Rajiv Gandhi Foundation,,,work
Q217154,100,"Mousavi criticized the then-current conservative President, Mahmoud Ahmadinejad, for his alleged economic mismanagement, asking, when Iran ""was making profits from the high prices of oil, did he (Ahmadinejad) envisage a situation when the prices would fall?""  (Mir-Hossein Mousavi)",,,,Mousavi,,criticized,,,,criticize
Q1377706,33,"After a brief time in Toronto, he moved to Temagami (Tema-Augama), Northern Ontario, where he worked as a fur trapper, a wilderness guide at Keewaydin camp, and a forest ranger.  (Grey Owl)",in Toronto,time,After,he,,,,,,time
Q1377706,33,"After a brief time in Toronto, he moved to Temagami (Tema-Augama), Northern Ontario, where he worked as a fur trapper, a wilderness guide at Keewaydin camp, and a forest ranger.  (Grey Owl)",to Temagami,,,he,,moved,,,,move
